vf,density_g_cc,E_HPMT_mpa,E_HPDS_mpa,E_HS_lower_mpa,E_HS_upper_mpa,nu_HPMT,K_HPMT_mpa,G_HPMT_mpa,specific_E_HPMT_mpa_per_g_cc,model_spread_pct
0.0,1.18,2999.9999999999995,2999.9999999999995,2999.9999999999995,2999.999999999999,0.35,3333.333333333333,1111.111111111111,2542.372881355932,0.0
0.05,1.144,3107.620337145958,3107.9505973949526,3107.620337145958,3121.657152181739,0.3446991667264128,3335.0543711844184,1155.507645889031,2716.451343659054,0.010627432349027872
0.1,1.108,3218.4020485885057,3219.6944446190655,3218.4020485885057,3245.6454309810574,0.33924595520475004,3336.7766398327512,1201.5724356234707,2904.694989700817,0.040156450656205725
0.15,1.0719999999999998,3332.486954637827,3335.3232668371666,3332.486954637827,3372.0334036310933,0.3336335273180589,3338.500140599106,1249.40131092065,3108.663203953197,0.08511097681545228
0.2,1.0359999999999998,3450.0254867566982,3454.927120709943,3450.0254867566982,3500.892351500169,0.32785462974969515,3340.224874806151,1299.0975854815672,3330.140431232335,0.14207529689448506
0.25,0.9999999999999999,3571.1773512080495,3578.5940248023358,3571.1773512080495,3632.296405731335,0.3219015619845544,3341.9508437784452,1350.7728010573967,3571.17735120805,0.20768146929968065
0.3,0.9639999999999999,3696.112255038814,3706.4095714821674,3696.112255038814,3766.3226910983635,0.3157661413046642,3343.6780488424483,1404.5475632067444,3834.1413434012597,0.27859858502174206
0.35,0.9279999999999999,3825.0107013398747,3838.456521240765,3825.0107013398747,3903.051478664791,0.30943966444452486,3345.4064913265165,1460.552481034884,4121.778772995555,0.35152371982071784
0.4,0.8919999999999999,3958.064861619058,3974.8143799325962,3958.064861619058,4042.566347880955,0.3029128655283281,3347.1361725609113,1518.9292263278373,4437.292445761276,0.4231744273813374
0.45,0.8559999999999999,4095.4795341540444,4115.558960128101,4095.4795341540444,4184.954358806866,0.2961758698615246,3348.867093877804,1579.8317301615787,4784.438708123885,0.4902826593712675
0.5,0.8199999999999998,4237.473198376684,4260.761928254537,4237.473198376684,4330.306235206621,0.28921814309209204,3350.5992566112764,1643.4275382649464,5167.650241922786,0.5495900218737628
0.55,0.7839999999999998,4384.2791767060435,4410.490338628538,4384.2791767060435,4478.716559323514,0.2820284351909998,3352.3326620973194,1709.8993502639676,5592.1928274311795,0.5978442719103261
0.6,0.7479999999999998,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,0.2745947186252815,3354.06731167385,1779.4467725858833,6064.367535863022,0.631796990088544
